291 181 455 ; 877 134 389 ; 651 61 150 ; 817 935 287 ; 873 959 190 ; 
779 572 286 ; 64 915 363 ; 863 758 76 ; 455 892 20 ; 652 118 77 ; 
824 270 93 ; 177 948 313 ; 464 248 351 ; 552 781 91 ; 858 229 133 ; 
406 83 13 ; 297 698 112 ; 31 11 32 ; 923 943 403 ; 17 865 355 ; 
287 578 311 ; 211 900 111 ; 460 523 296 ; 217 366 412 ; 447 24 320 ; 
530 145 126 ; 205 22 105 ; 216 986 322 ; 135 766 426 ; 1000 1001 297 ; 
555 864 131 ; 431 527 182 ; 954 367 98 ; 297 671 418 ; 321 503 119 ; 
466 169 410 ; 488 242 429 ; 451 613 390 ; 193 1015 370 ; 170 292 389 ; 
10 611 26 ; 537 194 77 ; 904 1012 152 ; 551 242 158 ; 30 713 483 ; 
199 608 316 ; 442 9 171 ; 31 639 159 ; 22 461 166 ; 314 418 95 ; 
926 352 301 ; 96 841 299 ; 84 737 200 ; 326 564 448 ; 15 687 307 ; 
623 108 97 ; 632 1019 297 ; 247 370 11 ; 708 173 210 ; 103 168 24 ; 
455 334 250 ; 273 509 20 ; 1010 198 16 ; 550 790 40 ; 214 910 158 ; 
322 35 194 ; 317 384 57 ; 687 151 30 ; 860 973 353 ; 5 793 398 ; 
339 928 53 ; 848 964 196 ; 22 73 405 ; 813 289 36 ; 699 832 394 ; 
734 366 316 ; 95 523 470 ; 246 289 379 ; 196 303 351 ; 989 1 403 ; 
893 826 132 ; 834 58 43 ; 907 588 436 ; 172 80 10 ; 1004 122 67 ; 
346 379 62 ; 870 957 445 ; 135 829 364 ; 438 364 330 ; 439 759 202 ; 
241 136 60 ; 300 875 153 ; 888 415 151 ; 968 1002 422 ; 66 353 359 ; 
445 404 267 ; 379 165 398 ; 184 21 104 ; 548 123 323 ; 283 422 206 ; 
419 686 353 ; 271 819 319 ; 686 763 299 ; 664 589 199 ; 1018 588 259 ; 
398 568 169 ; 563 894 99 ; 584 42 370 ; 707 349 214 ; 105 71 278 ; 
791 233 169 ; 587 636 373 ; 326 315 432 ; 915 882 134 ; 480 369 139 ; 
24 946 365 ; 918 945 375 ; 960 299 466 ; 285 861 206 ; 357 947 221 ; 
590 293 419 ; 202 58 210 ; 517 94 249 ; 375 816 187 ; 744 155 447 ; 
666 512 239 ; 588 243 479 ; 887 537 269 ; 725 391 361 ; 648 953 430 ; 
941 596 35 ; 999 6 29 ; 69 4 231 ; 886 327 292 ; 17 542 411 ; 
530 213 199 ; 773 932 178 ; 287 521 446 ; 678 46 373 ; 607 881 378 ; 
179 24 387 ; 186 782 420 ; 190 717 56 ; 517 146 77 ; 36 973 267 ; 
249 497 117 ; 158 687 491 ; 679 441 116 ; 726 58 163 ; 583 401 134 ; 
607 368 453 ; 365 252 41 ; 59 112 459 ; 205 42 309 ; 154 857 482 ; 
651 666 222 ; 314 1005 324 ; 755 70 414 ; 814 445 261 ; 191 475 431 ; 
559 89 2 ; 811 906 214 ; 924 885 243 ; 966 30 26 ; 799 716 151 ; 
442 415 86 ; 423 363 325 ; 493 469 104 ; 939 230 163 ; 390 718 81 ; 
479 764 236 ; 361 394 163 ; 222 390 339 ; 252 444 319 ; 969 704 181 ; 
360 94 192 ; 723 135 322 ; 168 491 62 ; 398 579 379 ; 92 456 290 ; 
857 525 77 ; 227 128 44 ; 617 543 86 ; 38 858 12 ; 742 91 281 ; 
836 124 78 ; 971 598 478 ; 439 472 453 ; 1018 840 269 ; 450 98 39 ; 
975 771 196 ; 80 900 93 ; 623 366 444 ; 458 54 494 ; 549 1019 268 ; 
673 905 122 ; 248 127 290 ; 720 72 301 ; 536 185 260 ; 635 697 182 ; 
382 277 297 ; 258 714 44 ; 624 354 236 ; 679 612 416 ; 674 908 254 ; 
556 922 79 ; 683 748 289 ; 756 522 205 ; 941 734 93 ; 614 941 482 ; 
891 574 365 ; 581 158 319 ; 936 847 38 ; 524 111 310 ; 409 857 149 ; 
307 104 188 ; 32 25 356 ; 554 194 131 ; 264 60 467 ; 181 462 133 ; 
755 475 19 ; 914 870 323 ; 737 500 340 ; 848 755 164 ; 681 664 493 ; 
785 224 390 ; 811 340 181 ; 1005 116 9 ; 41 647 323 ; 503 72 440 ; 
978 112 41 ; 825 19 277 ; 301 507 339 ; 32 908 168 ; 697 809 32 ; 
921 95 185 ; 238 712 58 ; 354 338 89 ; 1001 517 187 ; 50 961 240 ; 
162 563 288 ; 181 920 194 ; 688 143 279 ; 572 103 433 ; 357 911 113 ; 
452 352 174 ; 141 578 304 ; 479 592 62 ; 996 587 80 ; 934 623 177 ; 
473 139 487 ; 369 634 177 ; 512 929 126 ; 615 502 471 ; 502 108 227 ; 
854 410 93 ; 408 610 253 ; 1000 24 94 ; 563 816 125 ; 163 562 22 ; 
302 357 224 ; 936 315 125 ; 842 453 206 ; 320 256 102 ; 428 632 37 ; 
839 341 43 ; 425 502 157 ; 450 805 289 ; 242 562 382 ; 804 292 121 ; 
138 956 248 ; 453 45 255 ; 906 527 187 ; 139 497 473 ; 771 58 102 ; 
88 121 130 ; 590 14 289 ; 371 316 179 ; 934 594 65 ; 202 411 27 ; 
135 392 244 ; 180 675 406 ; 708 870 191 ; 181 884 373 ; 240 194 480 ; 
361 956 35 ; 376 510 335 ; 692 489 134 ; 262 918 377 ; 673 565 43 ; 
41 1017 302 ; 716 583 81 ; 563 602 357 ; 423 504 485 ; 617 544 419 ; 
549 332 195 ; 35 207 208 ; 524 673 116 ; 418 487 412 ; 984 210 478 ; 
977 136 436 ; 537 197 385 ; 115 439 230 ; 619 364 9 ; 140 471 48 ; 
472 818 449 ; 679 503 342 ; 329 563 222 ; 816 292 414 ; 2 282 337 ; 
139 946 165 ; 336 628 346 ; 775 2 287 ; 116 963 327 ; 587 299 42 ; 
382 252 414 ; 885 754 182 ; 424 268 330 ; 716 307 343 ; 999 764 303 ; 
921 157 253 ; 525 527 348 ; 527 411 169 ; 466 410 72 ; 765 4 248 ; 
1017 763 264 ; 748 969 314 ; 1016 831 459 ; 299 1022 167 ; 39 1005 0 ; 
196 991 491 ; 724 91 224 ; 111 552 290 ; 521 765 213 ; 525 69 60 ; 
264 985 25 ; 210 235 59 ; 17 370 355 ; 16 930 135 ; 1021 158 19 ; 
988 385 490 ; 56 509 271 ; 608 135 355 ; 349 289 382 ; 419 909 179 ; 
380 246 288 ; 616 601 329 ; 986 680 483 ; 892 752 228 ; 26 99 112 ; 
411 509 438 ; 921 92 162 ; 32 399 430 ; 321 817 115 ; 206 732 288 ; 
453 149 199 ; 30 854 316 ; 711 745 100 ; 439 653 362 ; 538 578 123 ; 
23 500 381 ; 116 386 129 ; 515 329 294 ; 309 880 462 ; 17 756 52 ; 
166 28 122 ; 1020 704 51 ; 741 972 46 ; 371 178 313 ; 949 277 340 ; 
425 403 146 ; 811 940 221 ; 116 350 41 ; 996 816 109 ; 729 580 10 ; 
757 551 219 ; 437 974 230 ; 385 404 222 ; 563 545 328 ; 841 101 479 ; 
220 195 140 ; 136 313 249 ; 486 546 320 ; 278 271 137 ; 859 305 461 ; 
386 357 286 ; 336 575 459 ; 741 789 352 ; 262 721 361 ; 364 0 405 ; 
559 228 254 ; 872 881 494 ; 395 298 254 ; 666 855 328 ; 972 360 382 ; 
305 595 265 ; 880 562 303 ; 645 967 400 ; 343 732 249 ; 343 37 15 ; 
572 183 243 ; 429 549 375 ; 727 27 335 ; 558 1015 166 ; 919 234 477 ; 
490 311 129 ; 28 775 342 ; 995 551 198 ; 704 44 271 ; 741 823 390 ; 
925 943 386 ; 450 598 398 ; 478 101 231 ; 469 0 355 ; 703 565 257 ; 
1015 54 252 ; 766 872 274 ; 293 522 339 ; 337 817 94 ; 136 432 458 ; 
55 390 484 ; 653 920 277 ; 755 855 183 ; 755 494 105 ; 296 692 75 ; 
350 784 122 ; 198 343 365 ; 720 954 311 ; 513 512 8 ; 945 775 57 ; 
311 755 326 ; 207 636 57 ; 39 967 331 ; 533 753 482 ; 201 1008 381 ; 
986 942 153 ; 305 868 279 ; 235 535 101 ; 747 496 21 ; 498 793 458 ; 
229 203 304 ; 865 693 295 ; 809 812 331 ; 538 662 346 ; 522 243 491 ; 
440 120 229 ; 284 347 311 ; 820 772 364 ; 292 893 227 ; 61 503 198 ; 
265 35 385 ; 958 903 474 ; 746 954 96 ; 384 20 433 ; 627 643 91 ; 
747 444 349 ; 70 207 329 ; 842 275 102 ; 711 578 274 ; 190 605 410 ; 
226 106 215 ; 105 860 368 ; 35 432 426 ; 55 813 72 ; 698 708 492 ; 
119 101 363 ; 326 959 42 ; 602 53 104 ; 156 991 206 ; 761 173 165 ; 
867 440 144 ; 704 973 94 ; 112 415 163 ; 926 604 182 ; 610 152 201 ; 
712 328 7 ; 647 226 386 ; 700 195 445 ; 667 1005 103 ; 840 479 235 ; 
256 143 245 ; 205 33 16 ; 621 28 24 ; 201 58 69 ; 353 143 83 ; 
681 926 305 ; 908 805 141 ; 79 1010 420 ; 60 793 244 ; 539 732 239 ; 
682 409 463 ; 715 954 336 ; 743 154 373 ; 801 491 354 ; 944 730 203 ; 
847 556 61 ; 628 69 346 ; 614 230 398 ; 383 66 377 ; 91 570 138 ; 
501 889 49 ; 431 441 404 ; 585 199 499 ; 53 577 147 ; 783 133 28 ; 
315 42 49 ; 385 632 216 ; 615 83 64 ; 681 636 242 ; 227 226 1 ; 
93 356 132 ; 534 144 29 ; 733 647 208 ; 287 870 398 ; 420 871 167 ; 
462 792 450 ; 70 536 54 ; 153 908 119 ; 790 870 418 ; 1016 191 47 ; 
348 627 43 ; 492 541 424 ; 116 885 26 ; 986 791 76 ; 833 750 427 ; 
601 469 135 ; 113 503 465 ; 1021 922 411 ; 867 932 373 ; 34 599 431 ; 
662 494 223 ; 179 482 300 ; 40 1005 416 ; 832 213 220 ; 558 732 211 ; 
3 647 268 ; 506 0 442 ; 404 447 447 ; 312 24 53 ; 912 391 296 ; 
382 751 235 ; 865 435 149 ; 846 611 420 ; 35 904 108 ; 767 135 260 ; 
390 199 99 ; 390 865 222 ; 837 621 389 ; 862 374 365 ; 229 994 274 ; 
980 625 162 ; 391 918 424 ; 1003 366 485 ; 883 879 75 ; 1018 175 66 ; 
193 30 89 ; 35 913 131 ; 656 254 305 ; 6 1023 375 ; 1000 57 417 ; 
602 3 10 ; 496 332 83 ; 863 501 286 ; 718 493 185 ; 893 519 352 ; 
924 289 350 ; 813 448 448 ; 43 998 87 ; 42 337 67 ; 100 538 293 ; 
103 968 61 ; 435 331 107 ; 937 86 284 ; 406 843 363 ; 925 436 453 ; 
190 22 166 ; 639 826 454 ; 613 641 39 ; 950 88 162 ; 464 565 189 ; 
408 1019 245 ; 740 26 344 ; 826 554 412 ; 645 921 285 ; 57 982 39 ; 
80 913 92 ; 906 743 239 ; 524 363 406 ; 612 25 251 ; 154 754 1 ; 
149 559 73 ; 175 468 477 ; 730 812 1 ; 627 45 227 ; 586 708 45 ; 
475 248 306 ; 194 1003 362 ; 557 349 13 ; 583 308 345 ; 313 193 277 ; 
873 542 455 ; 317 276 440 ; 105 749 488 ; 150 1 86 ; 858 922 97 ; 
82 876 327 ; 62 911 442 ; 411 828 397 ; 720 245 82 ; 913 274 13 ; 
432 458 27 ; 708 790 72 ; 433 274 493 ; 434 488 54 ; 332 306 40 ; 
185 709 490 ; 72 564 348 ; 900 613 58 ; 121 195 470 ; 395 361 390 ; 
853 840 115 ; 620 144 71 ; 894 789 87 ; 359 515 17 ; 665 391 87 ; 
350 101 344 ; 914 917 445 ; 503 772 105 ; 699 14 337 ; 36 1000 486 ; 
876 851 329 ; 1020 111 27 ; 785 78 167 ; 276 479 89 ; 667 291 380 ; 
768 435 341 ; 661 764 300 ; 409 141 198 ; 423 418 138 ; 399 816 497 ; 
227 585 493 ; 338 184 153 ; 416 403 401 ; 896 493 378 ; 163 941 342 ; 
598 7 481 ; 338 447 137 ; 479 777 158 ; 897 587 456 ; 689 72 351 ; 
250 617 383 ; 435 1014 18 ; 838 383 328 ; 307 537 104 ; 225 967 12 ; 
232 16 343 ; 679 857 237 ; 432 312 195 ; 1020 176 470 ; 68 463 251 ; 
686 126 24 ; 676 16 471 ; 36 244 266 ; 573 889 280 ; 517 381 104 ; 
533 37 265 ; 367 290 13 ; 679 882 444 ; 855 928 312 ; 294 848 404 ; 
421 432 69 ; 437 267 151 ; 682 537 303 ; 547 622 279 ; 928 1014 309 ; 
965 607 234 ; 232 432 387 ; 90 936 258 ; 1018 848 301 ; 842 757 380 ; 
251 734 495 ; 518 373 232 ; 32 688 405 ; 654 16 399 ; 644 941 318 ; 
227 335 27 ; 659 262 16 ; 571 557 80 ; 395 506 210 ; 128 287 229 ; 
862 362 35 ; 211 858 358 ; 900 767 169 ; 916 335 233 ; 833 449 331 ; 
144 468 419 ; 406 429 466 ; 963 621 281 ; 446 904 12 ; 733 157 471 ; 
71 252 416 ; 929 599 414 ; 672 440 470 ; 1007 313 34 ; 433 840 90 ; 
901 987 95 ; 306 337 487 ; 928 346 357 ; 808 926 261 ; 965 877 203 ; 
193 957 416 ; 792 876 395 ; 208 1006 224 ; 521 1012 308 ; 337 910 400 ; 
300 617 317 ; 637 468 438 ; 983 725 133 ; 885 922 481 ; 739 541 193 ; 
672 893 498 ; 524 292 283 ; 506 620 112 ; 494 597 300 ; 380 557 434 ; 
997 950 343 ; 441 196 448 ; 143 773 417 ; 41 230 181 ; 583 495 102 ; 
452 701 153 ; 745 77 250 ; 341 245 10 ; 938 621 405 ; 471 495 319 ; 
397 707 344 ; 594 195 73 ; 343 320 347 ; 574 405 374 ; 45 352 63 ; 
747 13 470 ; 824 347 11 ; 45 182 432 ; 666 523 457 ; 138 334 248 ; 
845 526 499 ; 16 692 85 ; 336 275 443 ; 742 1 206 ; 70 792 60 ; 
83 119 346 ; 431 922 413 ; 613 422 397 ; 112 263 262 ; 446 19 308 ; 
973 247 470 ; 641 872 443 ; 916 43 323 ; 917 581 84 ; 685 670 202 ; 
804 804 336 ; 702 661 83 ; 100 318 250 ; 364 20 347 ; 383 388 279 ; 
630 895 218 ; 478 198 7 ; 521 542 72 ; 79 198 464 ; 749 596 205 ; 
529 40 358 ; 166 591 451 ; 484 550 141 ; 504 97 362 ; 892 781 126 ; 
763 887 329 ; 962 942 472 ; 480 614 490 ; 678 178 180 ; 250 659 247 ; 
290 801 400 ; 881 724 189 ; 407 326 175 ; 505 28 459 ; 262 94 99 ; 
125 543 459 ; 43 599 159 ; 657 110 141 ; 835 142 433 ; 470 253 267 ; 
247 89 197 ; 972 454 411 ; 274 985 344 ; 302 976 396 ; 396 447 469 ; 
939 810 491 ; 515 913 32 ; 625 954 99 ; 767 451 116 ; 1020 626 399 ; 
85 27 301 ; 539 742 32 ; 500 291 396 ; 452 247 34 ; 899 708 12 ; 
685 407 252 ; 575 231 288 ; 505 98 91 ; 957 622 4 ; 559 957 207 ; 
587 738 447 ; 305 766 328 ; 596 743 39 ; 843 993 107 ; 527 522 491 ; 
934 446 494 ; 141 286 75 ; 239 641 394 ; 861 597 444 ; 794 296 157 ; 
508 1015 300 ; 251 795 275 ; 994 90 345 ; 963 909 149 ; 461 132 141 ; 
908 254 288 ; 170 38 83 ; 812 396 408 ; 385 236 364 ; 682 9 417 ; 
673 342 468 ; 445 237 316 ; 535 438 347 ; 421 212 457 ; 553 829 33 ; 
808 949 86 ; 846 980 74 ; 218 129 81 ; 455 541 253 ; 464 790 242 ; 
806 810 108 ; 20 315 446 ; 458 70 287 ; 670 820 466 ; 475 485 295 ; 
401 611 265 ; 357 622 369 ; 486 803 387 ; 3 772 9 ; 794 102 236 ; 
580 115 169 ; 895 801 15 ; 966 908 347 ; 762 526 214 ; 223 566 264 ; 
834 135 288 ; 432 512 129 ; 211 711 314 ; 983 104 457 ; 62 977 420 ; 
177 266 122 ; 978 361 383 ; 862 477 18 ; 364 27 228 ; 930 247 470 ; 
41 943 129 ; 553 1016 440 ; 240 423 180 ; 345 316 80 ; 298 212 95 ; 
564 903 173 ; 925 126 218 ; 378 244 232 ; 405 305 150 ; 653 103 143 ; 
572 125 5 ; 565 981 355 ; 988 221 412 ; 280 697 213 ; 492 109 322 ; 
371 606 272 ; 497 257 84 ; 742 885 477 ; 23 328 96 ; 126 135 357 ; 
251 872 26 ; 208 627 243 ; 430 936 284 ; 103 461 316 ; 212 331 0 ; 
819 499 256 ; 52 207 208 ; 937 840 89 ; 241 828 271 ; 376 198 334 ; 
225 220 249 ; 852 815 496 ; 764 951 17 ; 201 27 343 ; 532 407 202 ; 
7 256 247 ; 214 476 446 ; 31 169 370 ; 859 605 455 ; 33 39 149 ; 
254 624 149 ; 45 437 110 ; 997 458 91 ; 0 909 3 ; 408 439 413 ; 
664 182 493 ; 116 744 165 ; 285 334 363 ; 890 862 418 ; 930 607 426 ; 
530 728 95 ; 967 51 453 ; 401 226 243 ; 286 141 248 ; 726 258 340 ; 
908 908 316 ; 629 541 136 ; 963 388 360 ; 801 267 78 ; 384 1005 412 ; 
89 752 198 ; 140 754 37 ; 366 801 276 ; 507 821 82 ; 766 841 296 ; 
650 246 326 ; 167 314 419 ; 555 499 20 ; 822 969 499 ; 803 281 17 ; 
532 524 369 ; 262 273 206 ; 39 989 342 ; 860 59 16 ; 677 440 232 ; 
923 522 106 ; 214 489 280 ; 713 61 271 ; 658 597 442 ; 939 910 269 ; 
439 583 472 ; 712 346 204 ; 678 248 214 ; 737 517 449 ; 153 269 305 ; 
676 787 327 ; 141 931 478 ; 203 218 248 ; 800 60 201 ; 686 725 63 ; 
245 146 247 ; 591 98 154 ; 840 313 323 ; 333 566 381 ; 602 656 58 ; 
365 399 356 ; 272 41 100 ; 490 922 209 ; 550 467 408 ; 252 671 196 ; 
398 790 442 ; 496 324 164 ; 809 571 67 ; 352 472 51 ; 1008 87 76 ; 
383 879 78 ; 424 299 163 ; 322 884 111 ; 790 649 193 ; 437 189 56 ; 
203 416 264 ; 527 888 494 ; 75 927 450 ; 547 783 52 ; 634 971 248 ; 
489 738 344 ; 788 869 167 ; 649 249 47 ; 274 118 234 ; 463 538 280 ; 
879 186 249 ; 743 232 240 ; 647 775 407 ; 406 79 74 ; 353 759 122 ; 
67 399 312 ; 937 422 150 ; 162 869 234 ; 280 615 479 ; 819 127 441 ; 
1005 76 21 ; 214 228 160 ; 989 908 376 ; 44 638 383 ; 803 916 437 ; 
178 805 114 ; 600 159 142 ; 445 301 239 ; 37 69 313 ; 164 110 113 ; 
241 615 344 ; 469 976 122 ; 353 32 88 ; 992 759 397 ; 884 868 453 ; 
665 306 4 ; 824 836 394 ; 102 255 142 ; 171 860 147 ; 281 722 144 ; 
897 378 61 ; 849 16 202 ; 881 892 455 ; 616 709 81 ; 460 570 153 ; 
766 210 145 ; 579 28 371 ; 834 446 331 ; 671 286 261 ; 369 162 140 ; 
747 203 262 ; 764 485 147 ; 632 213 456 ; 318 294 269 ; 888 343 469 ; 
75 252 345 ; 103 827 11 ; 550 179 462 ; 836 656 289 ; 998 281 304 ; 
178 187 121 ; 663 990 288 ; 876 594 224 ; 146 55 73 ; 489 132 27 ; 
742 669 95 ; 545 948 78 ; 724 783 74 ; 357 428 76 ; 638 744 380 ; 
825 405 334 ; 791 813 0 ; 361 962 432 ; 416 719 84 ; 548 794 391 ; 
193 733 152 ; 117 748 218 ; 900 866 256 ; 304 510 300 ; 24 990 261 ; 
429 420 483 ; 219 29 24 ; 157 301 235 ; 876 425 72 ; 646 696 156 ; 
355 433 104 ; 79 911 317 ; 945 911 103 ; 431 612 275 ; 397 669 476 ; 
818 341 8 ; 847 837 346 ; 124 77 73 ; 549 701 470 ; 222 718 110 ; 
655 258 168 ; 542 1016 443 ; 430 867 15 ; 18 594 160 ; 687 626 252 ; 
4 683 225 ; 842 145 63 ; 919 850 118 ; 596 688 26 ; 290 378 372 ; 
549 714 398 ; 541 381 257 ; 384 128 19 ; 978 821 441 ; 581 921 175 ; 
240 394 335 ; 385 686 403 ; 211 800 257 ; 899 15 132 ; 253 803 101 ; 
967 789 319 ; 324 406 96 ; 453 565 249 ; 250 131 381 ; 147 738 268 ; 
541 1009 89 ; 203 261 353 ; 1004 354 406 ; 1019 343 25 ; 798 928 180 ; 
563 779 481 ; 969 156 448 ; 510 73 376 ; 641 375 133 ; 356 631 27 ; 
341 444 162 ; 602 497 116 ; 957 935 451 ; 276 560 139 ; 180 60 58 ; 
959 837 228 ; 91 533 103 ; 165 553 236 ; 540 3 147 ; 147 726 480 ; 
591 573 412 ; 64 961 278 ; 999 528 332 ; 535 76 185 ; 595 642 117 ; 
408 983 81 ; 941 862 249 ; 470 687 216 ; 473 1022 437 ; 176 974 293 ; 
749 259 52 ; 686 909 155 ; 190 113 455 ; 266 275 62 ; 909 712 149 ; 
868 306 100 ; 706 859 44 ; 369 479 281 ; 367 265 188 ; 318 590 397 ; 
577 39 289 ; 462 78 174 ; 575 182 224 ; 850 260 391 ; 539 874 313 ; 
845 34 50 ; 680 627 34 ; 135 112 369 ; 400 68 290 ; 991 498 446 ; 
6 79 168 ; 84 410 73 ; 266 402 87 ; 527 585 394 ; 377 11 33 ; 
411 345 120 ; 14 524 237 ; 127 385 133 ; 195 615 228 ; 693 189 313 ; 
773 81 476 ; 159 550 326 ; 561 457 166 ; 123 940 453 ; 134 225 100 ; 
479 49 405 ; 1003 718 24 ; 364 19 447 ; 980 479 10 ; 145 316 49 ; 
227 120 111 ; 777 954 188 ; 211 849 455 ; 127 1010 488 ; 352 674 31 ; 
401 715 193 ; 95 143 229 ; 114 610 24 ; 593 180 97 ; 910 970 89 ; 
6 405 298 ; 961 613 393 ; 786 980 447 ; 772 884 398 ; 422 912 493 ; 
113 49 265 ; 256 690 482 ; 867 287 437 ; 23 248 59 ; 993 165 132 ; 
374 227 470 ; 987 517 49 ; 943 560 398 ; 804 814 480 ; 692 171 304 ; 
741 904 118 ; 408 1014 179 ; 695 195 11 ; 943 514 414 ; 84 402 250 ; 
311 177 67 ; 828 982 126 ; 364 700 169 ; 154 180 301 ; 325 432 213 ; 
205 82 85 ; 195 869 314 ; 390 888 426 ; 904 751 1 ; 283 637 284 ; 
460 492 216 ; 418 722 448 ; 94 916 372 ; 274 5 289 ; 706 922 299 ; 
788 483 45 ; 633 785 494 ; 497 472 278 ; 224 853 184 ; 861 130 125 ; 
330 514 232 ; 28 186 180 ; 944 687 18 ; 949 528 144 ; 847 523 390 ; 
306 844 412 ; 68 347 328 ; 540 45 317 ; 369 133 94 ; 499 102 223 ; 
1014 354 8 ; 176 42 166 ; 863 148 27 ; 367 348 407 ; 891 822 313 ; 
711 978 456 ; 34 898 275 ; 79 427 83 ; 213 454 11 ; 315 705 356 ; 
670 793 460 ; 712 188 334 ; 861 635 130 ; 185 1002 222 ; 1008 271 397 ; 
962 388 308 ; 837 811 204 ; 240 278 226 ; 694 285 154 ; 375 661 375 ; 
145 513 310 ; 333 355 396 ; 968 374 313 ; 946 232 282 ; 194 457 447 ; 
582 550 403 ; 369 330 210 ; 647 144 47 ; 932 38 231 ; 569 145 210 ; 
59 568 205 ; 414 636 78 ; 788 393 199 ; 1020 1011 391 ; 454 791 118 ; 
1004 554 488 ; 310 256 310 ; 454 795 359 ; 493 551 70 ; 638 1001 102 ; 
182 802 367 ; 819 749 122 ; 188 4 405 ; 176 228 49 ; 967 374 74 ; 
497 714 228 ; 754 612 172 ; 525 879 462 ; 52 769 472 ; 29 567 61 ; 
832 934 104 ; 557 337 410 ; 561 154 377 ; 789 759 170 ; 139 337 274 ; 
853 369 137 ; 441 381 162 ; 296 703 60 ; 41 456 82 ; 608 701 254 ; 
519 561 344 ; 856 604 352 ; 1010 441 61 ; 745 467 170 ; 59 669 424 ; 
428 814 439 ; 810 433 57 ; 489 805 438 ; 945 679 443 ; 623 606 344 ; 
160 562 97 ; 764 326 364 ; 182 647 324 ; 649 505 30 ; 295 129 383 ; 
85 917 106 ; 518 510 131 ; 300 544 129 ; 979 875 62 ; 561 224 256 ; 
99 181 419 ; 425 657 359 ; 48 965 488 ; 554 235 330 ; 683 250 111 ; 
576 325 402 ; 62 828 44 ; 607 93 198 ; 458 871 426 ; 682 547 310 ; 
863 846 159 ; 496 282 263 ; 437 482 380 ; 672 864 73 ; 923 871 159 ; 
224 150 118 ; 28 538 39 ; 121 420 329 ; 992 603 428 ; 516 741 131 ; 
338 416 281 ; 620 191 329 ; 78 392 489 ; 942 641 235 ; 790 420 447 ; 
940 882 158 ; 454 897 178 ; 874 975 490 ; 453 635 75 ; 170 754 496 ; 
587 532 8 ; 778 149 382 ; 146 262 479 ; 787 813 489 ; 183 1013 392 ; 
42 87 2 ; 939 410 222 ; 890 760 448 ; 502 208 378 ; 232 648 144 ; 
764 580 54 ; 913 850 417 ; 152 717 52 ; 965 663 486 ; 954 527 294 ; 
18 157 189 ; 428 727 87 ; 164 727 83 ; 372 577 5 ; 1020 881 135 ; 
576 332 252 ; 403 369 488 ; 96 161 26 ; 759 100 206 ; 262 826 411 ; 
419 711 90 ; 122 639 252 ; 849 482 280 ; 403 191 312 ; 260 403 277 ; 
592 847 21 ; 962 7 350 ; 99 81 349 ; 199 307 145 ; 1 475 433 ; 
713 573 103 ; 328 689 159 ; 810 209 321 ; 1001 917 39 ; 380 974 394 ; 
203 4 382 ; 211 634 355 ; 292 643 285 ; 600 748 372 ; 51 589 104 ; 
624 693 125 ; 289 192 478 ; 498 837 250 ; 391 284 376 ; 342 134 214 ; 
346 245 102 ; 980 948 90 ; 599 565 221 ; 323 281 169 ; 913 197 493 ; 
582 115 456 ; 774 745 296 ; 587 680 117 ; 872 400 403 ; 1006 98 115 ; 
227 177 381 ; 151 459 75 ; 716 952 47 ; 998 713 498 ; 171 51 425 ; 
286 463 262 ; 8 476 464 ; 688 777 190 ; 64 553 262 ; 163 720 218 ; 
