39 15 308 ; 2 10 184 ; 42 8 387 ; 6 31 462 ; 18 9 196 ; 
31 20 290 ; 8 0 194 ; 16 61 110 ; 21 56 422 ; 6 59 430 ; 
31 53 357 ; 18 34 401 ; 55 18 77 ; 43 46 227 ; 11 0 216 ; 
32 38 244 ; 32 4 128 ; 29 51 92 ; 21 57 104 ; 17 19 325 ; 
6 16 340 ; 40 13 75 ; 58 23 54 ; 40 62 481 ; 41 38 428 ; 
15 47 464 ; 20 23 24 ; 7 7 492 ; 0 8 165 ; 19 29 455 ; 
36 57 244 ; 49 53 386 ; 8 3 318 ; 7 8 365 ; 45 56 33 ; 
28 52 330 ; 51 16 46 ; 59 12 226 ; 3 38 129 ; 32 21 29 ; 
26 21 208 ; 15 27 376 ; 18 9 434 ; 26 50 106 ; 18 4 325 ; 
7 62 159 ; 23 8 499 ; 36 38 327 ; 10 11 438 ; 31 48 233 ; 
52 41 445 ; 15 5 359 ; 24 19 458 ; 11 42 444 ; 15 7 150 ; 
13 18 357 ; 22 58 28 ; 60 21 187 ; 8 43 31 ; 56 4 21 ; 
33 61 168 ; 39 17 12 ; 58 51 143 ; 36 40 380 ; 44 54 87 ; 
62 23 150 ; 56 63 399 ; 13 63 437 ; 56 34 286 ; 60 16 426 ; 
58 28 238 ; 11 29 284 ; 62 44 291 ; 38 20 341 ; 29 7 98 ; 
52 9 34 ; 52 25 160 ; 51 62 329 ; 21 32 218 ; 37 10 63 ; 
2 45 151 ; 31 49 429 ; 11 28 256 ; 32 1 91 ; 39 11 433 ; 
49 1 82 ; 10 54 395 ; 8 35 455 ; 41 29 246 ; 51 16 3 ; 
32 0 249 ; 17 41 355 ; 45 30 130 ; 47 17 273 ; 58 42 313 ; 
60 33 485 ; 50 12 142 ; 21 43 36 ; 50 61 400 ; 3 36 77 ; 
3 49 141 ; 44 0 33 ; 10 46 39 ; 27 40 448 ; 6 1 307 ; 
39 2 362 ; 51 52 350 ; 30 48 80 ; 27 53 85 ; 63 34 83 ; 
49 3 490 ; 49 5 105 ; 32 24 414 ; 8 24 468 ; 9 8 64 ; 
12 50 486 ; 0 24 113 ; 49 48 192 ; 38 29 382 ; 8 60 77 ; 
12 31 132 ; 17 4 297 ; 41 22 279 ; 1 51 207 ; 9 43 207 ; 
59 41 92 ; 19 14 200 ; 3 38 25 ; 32 28 102 ; 29 45 332 ; 
60 61 496 ; 0 63 384 ; 23 50 29 ; 10 5 322 ; 53 32 212 ; 
30 4 357 ; 44 53 121 ; 18 38 204 ; 46 8 40 ; 27 16 64 ; 
24 32 361 ; 23 61 421 ; 9 42 202 ; 14 1 469 ; 46 25 191 ; 
51 58 284 ; 40 23 234 ; 14 8 154 ; 22 60 88 ; 38 16 270 ; 
6 2 129 ; 3 47 445 ; 46 29 73 ; 47 34 438 ; 8 49 101 ; 
2 53 471 ; 26 23 438 ; 34 37 110 ; 30 5 308 ; 46 19 338 ; 
48 60 32 ; 32 62 35 ; 61 23 434 ; 32 57 260 ; 17 42 483 ; 
7 10 167 ; 30 28 22 ; 4 23 316 ; 9 31 106 ; 29 62 488 ; 
25 2 322 ; 23 13 175 ; 46 28 467 ; 40 24 104 ; 18 4 204 ; 
28 55 310 ; 57 45 205 ; 16 61 475 ; 47 47 275 ; 45 63 45 ; 
48 62 54 ; 61 45 135 ; 25 60 383 ; 50 8 73 ; 54 53 145 ; 
45 51 52 ; 27 56 412 ; 24 27 221 ; 8 3 385 ; 7 52 269 ; 
5 2 358 ; 50 41 38 ; 46 40 344 ; 55 22 209 ; 44 43 451 ; 
31 19 349 ; 23 24 423 ; 50 21 46 ; 53 35 182 ; 41 32 142 ; 
43 10 62 ; 21 37 467 ; 61 61 34 ; 19 46 80 ; 63 18 211 ; 
18 43 483 ; 42 50 2 ; 0 20 29 ; 35 15 336 ; 3 17 49 ; 
13 27 67 ; 50 43 90 ; 47 45 107 ; 30 29 353 ; 48 5 400 ; 
27 24 395 ; 14 11 242 ; 34 20 204 ; 49 16 152 ; 3 2 323 ; 
30 29 486 ; 9 35 204 ; 54 63 310 ; 20 24 354 ; 25 4 192 ; 
49 48 480 ; 60 46 67 ; 17 22 377 ; 33 63 456 ; 35 10 337 ; 
0 25 16 ; 36 53 407 ; 35 3 124 ; 59 1 407 ; 63 29 335 ; 
47 41 472 ; 29 17 301 ; 52 6 326 ; 51 30 75 ; 61 40 440 ; 
22 52 268 ; 11 31 328 ; 15 20 64 ; 16 63 231 ; 46 62 386 ; 
23 22 430 ; 40 31 109 ; 47 37 371 ; 13 60 67 ; 53 53 202 ; 
42 17 99 ; 9 45 98 ; 29 46 401 ; 28 17 172 ; 26 48 117 ; 
48 14 427 ; 16 27 434 ; 53 6 59 ; 50 37 178 ; 39 55 99 ; 
56 7 309 ; 37 45 27 ; 19 30 12 ; 37 31 38 ; 21 48 214 ; 
35 47 377 ; 62 5 349 ; 5 4 285 ; 42 50 159 ; 34 46 249 ; 
41 31 144 ; 22 58 168 ; 52 30 445 ; 19 32 97 ; 3 63 150 ; 
50 56 195 ; 56 33 14 ; 60 27 364 ; 47 10 469 ; 29 43 248 ; 
60 51 402 ; 54 51 179 ; 20 24 381 ; 53 17 409 ; 52 47 289 ; 
44 34 488 ; 13 56 83 ; 40 13 211 ; 50 38 283 ; 29 42 478 ; 
16 16 395 ; 3 31 195 ; 28 4 257 ; 45 30 242 ; 29 11 391 ; 
63 59 419 ; 56 30 351 ; 5 57 240 ; 43 17 169 ; 22 23 499 ; 
38 59 333 ; 6 26 461 ; 10 48 257 ; 40 26 313 ; 51 57 78 ; 
47 12 407 ; 13 11 143 ; 7 23 151 ; 24 12 444 ; 47 52 47 ; 
42 57 5 ; 5 14 72 ; 53 39 278 ; 15 28 4 ; 8 63 13 ; 
20 62 444 ; 31 61 287 ; 54 52 273 ; 3 48 168 ; 55 24 256 ; 
48 21 15 ; 62 57 194 ; 38 35 487 ; 2 24 4 ; 1 53 135 ; 
0 5 327 ; 61 5 499 ; 50 18 2 ; 34 38 428 ; 58 18 299 ; 
16 45 114 ; 9 51 206 ; 45 62 389 ; 5 62 271 ; 58 13 461 ; 
63 36 95 ; 4 15 79 ; 22 25 56 ; 60 26 178 ; 14 29 93 ; 
60 24 143 ; 47 2 39 ; 46 43 205 ; 44 58 418 ; 58 12 35 ; 
30 31 421 ; 46 50 372 ; 7 2 177 ; 33 5 107 ; 63 42 184 ; 
23 9 162 ; 25 57 58 ; 5 50 418 ; 63 24 228 ; 11 3 492 ; 
42 40 198 ; 28 12 25 ; 31 53 119 ; 36 53 38 ; 14 49 360 ; 
23 59 235 ; 16 2 278 ; 2 56 47 ; 26 28 432 ; 29 44 56 ; 
5 55 379 ; 18 32 350 ; 7 55 250 ; 60 21 285 ; 45 21 337 ; 
41 20 499 ; 43 42 267 ; 35 26 327 ; 63 14 442 ; 43 2 324 ; 
34 2 66 ; 2 44 87 ; 57 50 261 ; 15 24 117 ; 36 33 113 ; 
57 57 231 ; 35 40 188 ; 61 39 191 ; 12 41 10 ; 14 6 77 ; 
16 0 384 ; 60 63 335 ; 47 17 249 ; 7 42 303 ; 40 63 34 ; 
33 2 302 ; 9 46 491 ; 49 5 435 ; 26 63 180 ; 32 56 160 ; 
32 29 283 ; 32 36 427 ; 49 45 296 ; 27 48 491 ; 26 2 298 ; 
29 57 406 ; 11 40 168 ; 17 59 349 ; 16 12 130 ; 9 40 453 ; 
38 19 493 ; 10 15 170 ; 55 7 70 ; 40 46 159 ; 42 28 202 ; 
35 50 16 ; 12 42 185 ; 7 44 193 ; 19 30 286 ; 60 43 270 ; 
15 25 279 ; 30 39 493 ; 37 21 99 ; 19 52 51 ; 47 46 299 ; 
34 2 433 ; 12 52 201 ; 56 49 1 ; 23 63 64 ; 2 29 276 ; 
27 5 296 ; 2 18 55 ; 23 42 334 ; 11 57 279 ; 57 48 235 ; 
60 17 146 ; 48 22 328 ; 33 39 245 ; 32 0 449 ; 61 44 72 ; 
2 20 419 ; 21 11 130 ; 63 33 81 ; 56 29 340 ; 40 44 420 ; 
57 42 373 ; 16 11 217 ; 55 56 489 ; 55 29 382 ; 35 26 34 ; 
55 25 420 ; 3 51 466 ; 36 16 167 ; 1 5 474 ; 45 5 290 ; 
24 62 266 ; 35 52 336 ; 27 25 52 ; 56 32 415 ; 18 6 491 ; 
43 42 406 ; 31 17 458 ; 47 12 201 ; 52 7 321 ; 57 57 99 ; 
56 20 472 ; 44 40 384 ; 5 12 219 ; 37 39 370 ; 44 58 491 ; 
22 49 301 ; 39 31 425 ; 52 16 140 ; 59 37 231 ; 52 60 40 ; 
8 1 337 ; 48 29 497 ; 60 29 385 ; 36 55 195 ; 30 10 456 ; 
15 48 56 ; 46 1 119 ; 62 49 258 ; 36 16 142 ; 32 36 97 ; 
33 50 414 ; 63 55 62 ; 28 41 231 ; 19 32 323 ; 30 60 403 ; 
14 5 462 ; 15 36 109 ; 0 42 452 ; 16 37 42 ; 53 26 350 ; 
39 4 327 ; 30 55 296 ; 7 26 143 ; 39 57 439 ; 36 61 55 ; 
41 31 333 ; 13 16 223 ; 55 48 354 ; 28 15 162 ; 55 17 286 ; 
59 52 63 ; 50 57 34 ; 12 60 197 ; 6 28 436 ; 3 15 448 ; 
34 32 188 ; 50 63 417 ; 35 45 254 ; 50 27 457 ; 3 25 22 ; 
56 13 341 ; 49 39 384 ; 45 32 363 ; 9 33 211 ; 24 9 105 ; 
56 21 96 ; 55 10 498 ; 36 12 273 ; 63 5 76 ; 25 27 98 ; 
38 40 189 ; 13 49 381 ; 46 44 118 ; 15 51 396 ; 24 1 153 ; 
45 17 298 ; 55 4 310 ; 3 41 118 ; 8 49 74 ; 36 43 342 ; 
12 40 59 ; 61 30 141 ; 41 4 270 ; 29 24 496 ; 30 54 107 ; 
47 44 347 ; 51 26 460 ; 28 0 363 ; 13 11 162 ; 56 21 463 ; 
33 56 343 ; 63 1 439 ; 3 23 489 ; 28 28 58 ; 18 47 155 ; 
62 27 441 ; 24 51 309 ; 25 3 108 ; 36 21 317 ; 57 48 306 ; 
49 47 27 ; 50 59 20 ; 9 4 19 ; 37 54 142 ; 21 6 138 ; 
48 51 12 ; 35 16 210 ; 38 33 99 ; 60 14 444 ; 44 8 24 ; 
28 59 181 ; 23 15 178 ; 27 34 304 ; 17 57 33 ; 23 43 363 ; 
11 48 400 ; 27 50 196 ; 60 13 359 ; 10 1 310 ; 19 25 358 ; 
14 42 466 ; 30 44 330 ; 0 32 93 ; 57 30 40 ; 37 1 434 ; 
21 57 281 ; 7 33 320 ; 21 44 416 ; 22 30 324 ; 48 12 67 ; 
26 39 246 ; 7 29 240 ; 39 43 70 ; 5 19 107 ; 6 13 140 ; 
63 31 309 ; 32 59 330 ; 13 51 414 ; 43 40 159 ; 56 39 361 ; 
31 57 397 ; 60 25 448 ; 39 24 43 ; 59 23 190 ; 8 15 220 ; 
39 45 402 ; 35 31 434 ; 22 25 362 ; 62 40 399 ; 37 14 59 ; 
30 35 495 ; 56 19 26 ; 16 10 334 ; 39 41 366 ; 54 13 161 ; 
35 55 153 ; 3 33 329 ; 28 44 156 ; 5 3 106 ; 19 6 153 ; 
54 1 362 ; 10 27 333 ; 20 50 305 ; 61 48 349 ; 10 41 424 ; 
2 42 466 ; 35 19 342 ; 15 31 381 ; 19 2 145 ; 25 35 294 ; 
27 41 245 ; 54 14 340 ; 40 43 230 ; 24 24 310 ; 1 44 272 ; 
44 55 334 ; 63 37 252 ; 31 22 108 ; 33 35 467 ; 4 54 378 ; 
45 27 456 ; 60 55 139 ; 39 29 9 ; 0 24 402 ; 44 16 34 ; 
35 18 68 ; 8 23 156 ; 30 63 479 ; 2 54 46 ; 56 1 463 ; 
19 37 383 ; 11 36 21 ; 40 25 61 ; 0 55 308 ; 16 46 112 ; 
35 38 101 ; 58 10 240 ; 57 45 225 ; 47 48 83 ; 48 19 313 ; 
21 59 413 ; 57 16 425 ; 19 33 40 ; 10 25 192 ; 56 18 193 ; 
30 55 313 ; 40 63 388 ; 22 16 22 ; 6 0 323 ; 25 49 259 ; 
20 27 411 ; 36 24 385 ; 5 32 170 ; 31 16 129 ; 49 1 16 ; 
40 3 364 ; 39 39 95 ; 56 6 11 ; 56 29 445 ; 41 36 443 ; 
4 28 469 ; 28 41 257 ; 60 47 330 ; 13 9 451 ; 14 45 78 ; 
17 9 175 ; 57 4 47 ; 63 40 83 ; 28 33 211 ; 1 33 163 ; 
29 58 456 ; 6 39 5 ; 53 57 233 ; 62 17 34 ; 43 7 99 ; 
53 47 473 ; 57 62 323 ; 33 53 36 ; 3 36 487 ; 36 11 499 ; 
30 28 184 ; 5 49 305 ; 63 34 395 ; 16 16 329 ; 23 11 235 ; 
6 21 483 ; 5 48 436 ; 58 4 41 ; 31 23 163 ; 42 6 98 ; 
6 55 290 ; 55 4 208 ; 26 24 461 ; 42 33 380 ; 54 40 416 ; 
11 27 0 ; 59 3 306 ; 63 37 383 ; 22 40 166 ; 28 46 217 ; 
19 24 199 ; 24 32 70 ; 48 45 389 ; 17 58 187 ; 57 22 350 ; 
21 10 180 ; 24 5 447 ; 61 4 30 ; 37 62 465 ; 19 23 387 ; 
43 27 147 ; 11 37 431 ; 57 38 43 ; 51 2 231 ; 9 8 176 ; 
20 4 465 ; 25 11 82 ; 29 13 463 ; 28 14 0 ; 51 37 6 ; 
14 24 133 ; 51 31 469 ; 26 62 424 ; 28 13 257 ; 36 45 404 ; 
40 7 78 ; 51 53 482 ; 0 60 71 ; 14 1 80 ; 51 43 28 ; 
11 40 280 ; 43 17 386 ; 41 6 418 ; 55 51 468 ; 36 20 372 ; 
43 62 332 ; 33 60 380 ; 29 19 111 ; 30 7 111 ; 9 24 493 ; 
50 28 496 ; 3 46 415 ; 9 52 386 ; 61 20 100 ; 17 16 139 ; 
15 48 31 ; 11 56 391 ; 30 51 356 ; 37 46 37 ; 61 55 436 ; 
25 51 113 ; 8 59 499 ; 60 45 267 ; 17 9 340 ; 33 28 329 ; 
18 20 138 ; 10 55 345 ; 62 59 136 ; 44 28 230 ; 36 28 412 ; 
23 38 209 ; 18 33 51 ; 0 32 27 ; 9 41 203 ; 38 46 400 ; 
58 5 490 ; 49 42 8 ; 44 27 482 ; 8 41 376 ; 37 29 301 ; 
11 15 101 ; 44 26 68 ; 13 45 27 ; 54 60 159 ; 36 29 120 ; 
41 31 50 ; 20 51 480 ; 47 17 153 ; 24 46 425 ; 54 55 482 ; 
5 36 315 ; 31 40 186 ; 12 63 446 ; 8 22 215 ; 37 55 333 ; 
4 61 334 ; 55 62 355 ; 9 47 243 ; 55 13 134 ; 46 51 111 ; 
18 62 437 ; 58 20 470 ; 58 22 465 ; 16 38 449 ; 7 43 477 ; 
5 21 99 ; 3 41 155 ; 50 16 155 ; 63 39 284 ; 50 22 215 ; 
48 59 305 ; 4 37 451 ; 27 46 277 ; 1 3 107 ; 44 32 156 ; 
2 35 191 ; 43 43 320 ; 59 42 23 ; 34 50 454 ; 56 49 241 ; 
51 30 16 ; 24 29 444 ; 6 22 417 ; 9 10 176 ; 42 14 289 ; 
13 25 441 ; 56 42 467 ; 34 61 426 ; 20 3 414 ; 5 9 212 ; 
35 1 489 ; 0 41 328 ; 23 22 53 ; 33 30 127 ; 47 39 353 ; 
8 29 59 ; 50 20 344 ; 48 55 365 ; 51 21 127 ; 60 21 64 ; 
61 14 445 ; 39 59 373 ; 61 0 1 ; 28 11 460 ; 3 32 5 ; 
32 31 292 ; 53 44 69 ; 44 49 451 ; 1 24 167 ; 22 20 171 ; 
37 22 203 ; 32 59 281 ; 32 32 200 ; 43 29 229 ; 12 58 45 ; 
43 7 437 ; 23 28 345 ; 8 35 294 ; 33 27 358 ; 53 6 451 ; 
11 45 490 ; 6 18 463 ; 39 30 199 ; 4 40 251 ; 62 13 98 ; 
5 54 242 ; 33 0 298 ; 5 62 405 ; 32 41 486 ; 38 20 315 ; 
19 22 308 ; 38 61 60 ; 4 4 146 ; 44 43 69 ; 58 62 141 ; 
48 28 16 ; 48 38 189 ; 47 8 379 ; 24 50 92 ; 44 61 292 ; 
3 61 354 ; 0 9 481 ; 5 28 455 ; 48 21 328 ; 46 19 180 ; 
11 15 206 ; 49 16 399 ; 57 51 399 ; 43 27 58 ; 40 35 178 ; 
38 17 267 ; 47 19 314 ; 11 58 134 ; 33 38 427 ; 52 63 296 ; 
3 17 190 ; 19 20 353 ; 7 8 83 ; 34 42 136 ; 6 37 204 ; 
23 12 396 ; 42 54 226 ; 37 32 254 ; 11 16 125 ; 10 48 410 ; 
28 62 102 ; 48 24 217 ; 56 35 297 ; 35 39 368 ; 8 23 226 ; 
20 48 312 ; 10 46 184 ; 42 28 322 ; 58 22 331 ; 42 48 391 ; 
41 63 181 ; 1 16 261 ; 36 53 30 ; 11 33 238 ; 35 48 297 ; 
19 4 33 ; 1 48 269 ; 30 7 467 ; 52 2 114 ; 36 9 340 ; 
35 27 91 ; 52 8 408 ; 41 38 145 ; 11 61 89 ; 59 54 24 ; 
63 56 359 ; 48 13 138 ; 55 45 292 ; 57 55 74 ; 3 59 110 ; 
30 42 162 ; 38 2 334 ; 13 27 46 ; 10 24 243 ; 0 33 350 ; 
56 12 389 ; 6 11 377 ; 51 11 349 ; 42 41 276 ; 37 59 341 ; 
16 49 436 ; 18 11 242 ; 46 25 21 ; 6 17 302 ; 39 19 176 ; 
52 17 440 ; 63 14 481 ; 10 59 67 ; 51 31 18 ; 46 60 300 ; 
31 29 401 ; 43 27 117 ; 4 0 152 ; 21 50 354 ; 41 46 312 ; 
58 43 52 ; 8 32 136 ; 3 27 499 ; 34 9 489 ; 30 33 180 ; 
59 30 34 ; 23 44 361 ; 23 12 496 ; 10 26 189 ; 56 46 330 ; 
35 42 123 ; 3 26 457 ; 30 9 413 ; 39 2 340 ; 8 46 366 ; 
39 8 185 ; 19 2 84 ; 31 38 307 ; 57 15 375 ; 39 14 441 ; 
18 53 181 ; 44 23 389 ; 54 0 44 ; 56 45 215 ; 39 59 474 ; 
47 40 419 ; 49 17 302 ; 24 16 445 ; 39 39 0 ; 53 8 173 ; 
43 34 276 ; 2 31 66 ; 2 31 179 ; 47 62 113 ; 43 5 209 ; 
19 20 148 ; 36 10 168 ; 53 19 129 ; 28 59 29 ; 37 28 409 ; 
7 36 98 ; 38 63 369 ; 5 6 235 ; 4 3 110 ; 9 56 333 ; 
29 21 476 ; 39 33 224 ; 58 30 364 ; 53 52 1 ; 17 49 214 ; 
53 35 239 ; 52 1 462 ; 58 32 272 ; 61 2 213 ; 54 20 1 ; 
11 16 110 ; 44 32 163 ; 10 21 258 ; 62 62 248 ; 47 4 429 ; 
19 47 30 ; 20 33 476 ; 52 57 36 ; 55 23 243 ; 11 56 4 ; 
27 35 234 ; 60 42 433 ; 17 25 417 ; 15 1 20 ; 20 31 122 ; 
3 13 282 ; 37 49 449 ; 30 10 493 ; 53 29 353 ; 46 45 436 ; 
17 52 131 ; 59 5 63 ; 20 3 159 ; 22 11 432 ; 53 17 235 ; 
2 7 135 ; 52 16 223 ; 62 45 108 ; 27 63 118 ; 8 7 264 ; 
60 27 102 ; 2 10 39 ; 5 53 442 ; 16 49 423 ; 33 60 377 ; 
41 28 438 ; 57 63 136 ; 39 7 300 ; 38 45 318 ; 45 9 81 ; 
8 19 150 ; 18 46 406 ; 7 5 488 ; 56 48 461 ; 53 49 49 ; 
17 39 227 ; 16 31 276 ; 23 12 145 ; 4 54 328 ; 14 60 30 ; 
33 10 40 ; 16 20 488 ; 21 33 439 ; 5 50 402 ; 54 20 163 ; 
29 23 252 ; 60 3 361 ; 8 40 361 ; 63 53 64 ; 59 39 236 ; 
5 7 494 ; 25 48 292 ; 58 43 168 ; 45 45 417 ; 1 40 314 ; 
24 24 88 ; 27 25 177 ; 3 42 69 ; 56 18 270 ; 32 63 245 ; 
39 57 280 ; 23 21 25 ; 2 1 386 ; 48 2 57 ; 24 8 294 ; 
49 4 203 ; 10 29 363 ; 53 51 198 ; 7 17 205 ; 6 46 418 ; 

